^SPX (Standard & Poors 500 Index),3009.05,-74.71
Jun 27 2020 @ 05:39 ET,Bid,2977.94,Ask,3245.56,Size,1x1,Vol,
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
06/26/2020,SPXW200626C00500000,0,0,2490.6,2538.6,0,0.02,0.9999,0,0,500.000,SPXW200626P00500000,0.05,0,0,0.05,0,0.02,-0.0001,0,2
06/26/2020,SPXW200626C00600000,0,0,2385.9,2433.9,0,0.02,0.9999,0,0,600.000,SPXW200626P00600000,0,0,0,20,0,0.02,-0.0001,0,0
06/26/2020,SPXW200626C00700000,0,0,2276.9,2324.9,0,0.02,0.9999,0,0,700.000,SPXW200626P00700000,0,0,0,20,0,0.02,-0.0001,0,0
06/26/2020,SPXW200626C00800000,0,0,2176.9,2224.9,0,0.02,0.9998,0,0,800.000,SPXW200626P00800000,0,0,0,20,0,0.02,-0.0001,0,0
06/26/2020,SPXW200626C00900000,2161,0,2076.9,2124.9,0,0.02,0.9998,0,2,900.000,SPXW200626P00900000,0,0,0,20,0,36.4794,-0.0001,0,0
06/26/2020,SPXW200626C01000000,0,0,1975.4,2023.4,0,0.02,0.9995,0,0,1000.000,SPXW200626P01000000,0,0,0,20,0,33.501,-0.0001,0,0
06/26/2020,SPXW200626C01050000,0,0,1926.9,1974.9,0,0.02,0.9998,0,0,1050.000,SPXW200626P01050000,0.05,0,0,0.05,0,32.001,-0.0001,0,25
06/26/2020,SPXW200626C01100000,1973.5,0,1875.4,1923.4,0,0.02,0.9996,0,2,1100.000,SPXW200626P01100000,0,0,0,20,0,30.5144,-0.0001,0,0
06/26/2020,SPXW200626C01150000,0,0,1835.9,1883.9,0,0.02,0.9998,0,0,1150.000,SPXW200626P01150000,0,0,0,20,0,29.398,-0.0001,0,0
06/26/2020,SPXW200626C01200000,1849.1,0,1785.9,1833.9,0,0.02,0.9998,0,10,1200.000,SPXW200626P01200000,0.16,0,0,0.05,0,28.001,-0.0001,0,4
06/26/2020,SPXW200626C01250000,0,0,1735.9,1783.9,0,0.02,0.9996,0,0,1250.000,SPXW200626P01250000,0,0,0,20,0,26.9285,-0.0001,0,0
06/26/2020,SPXW200626C01300000,1833.3,0,1676.9,1724.9,0,0.02,0.9995,0,11,1300.000,SPXW200626P01300000,0.26,0,0,0.05,0,25.751,-0.0001,0,10
06/26/2020,SPXW200626C01350000,0,0,1640.6,1688.6,0,0.02,0.999,0,0,1350.000,SPXW200626P01350000,0.1,0,0,0.05,0,24.6533,-0.0001,0,20
06/26/2020,SPXW200626C01400000,1733.5,0,1576.9,1624.9,0,0.02,0.9997,0,1,1400.000,SPXW200626P01400000,0.1,0,0,0.05,0,23.501,-0.0001,0,1004
06/26/2020,SPXW200626C01450000,1698.9,0,1540.6,1588.6,0,0.02,0.9993,0,1,1450.000,SPXW200626P01450000,0.05,0,0,0.05,0,22.5413,-0.0002,0,1000
06/26/2020,SPXW200626C01500000,1637.2,0,1475.4,1523.4,0,0.02,0.9989,0,3,1500.000,SPXW200626P01500000,0.1,0,0,0.05,0,21.501,-0.0002,0,93
06/26/2020,SPXW200626C01550000,0,0,1435.9,1483.9,0,0.02,0.9987,0,0,1550.000,SPXW200626P01550000,0.2,0,0,0.05,0,20.5737,-0.0002,0,140
06/26/2020,SPXW200626C01600000,1541,0,1376.9,1424.9,0,36.8109,0.9786,0.0001,1,1600.000,SPXW200626P01600000,0.05,0,0,0.05,0,19.501,-0.0002,0,252
06/26/2020,SPXW200626C01650000,0,0,1335.9,1383.9,0,35.878,0.976,0.0001,0,1650.000,SPXW200626P01650000,0.45,0,0,0.05,0,18.7367,-0.0002,0,104
06/26/2020,SPXW200626C01700000,0,0,1285.9,1333.9,0,34.4342,0.9745,0.0001,1,1700.000,SPXW200626P01700000,0.05,0,0,0.05,0,17.751,-0.0002,0,575
06/26/2020,SPXW200626C01750000,0,0,1225.4,1273.4,0,32.3372,0.9751,0.0001,0,1750.000,SPXW200626P01750000,0.05,0,0,0.05,0,17.0207,-0.0002,0,2083
06/26/2020,SPXW200626C01800000,0,0,1185.9,1233.9,0,30.721,0.9744,0.0001,0,1800.000,SPXW200626P01800000,0.05,0,0,0.05,0,16.0601,-0.0002,0,357
06/26/2020,SPXW200626C01850000,1193.7,0,1126.9,1174.9,0,29.968,0.9709,0.0001,2,1850.000,SPXW200626P01850000,0.05,0,0,0.05,0,15.2833,-0.0002,0,335
06/26/2020,SPXW200626C01900000,0,0,1076.9,1124.9,0,28.552,0.9695,0.0001,0,1900.000,SPXW200626P01900000,0.05,0,0,0.05,0,14.5425,-0.0002,0,225
06/26/2020,SPXW200626C01950000,0,0,1025.4,1073.4,0,26.6798,0.9701,0.0001,0,1950.000,SPXW200626P01950000,0.1,0,0,0.05,0,13.7459,-0.0003,0,521
06/26/2020,SPXW200626C02000000,0,0,985.9,1033.9,0,25.814,0.9664,0.0001,0,2000.000,SPXW200626P02000000,0.05,0,0,0.05,0,12.9713,-0.0003,0,1303
06/26/2020,SPXW200626C02050000,958.9,0,935.9,983.9,0,24.3721,0.9653,0.0001,1,2050.000,SPXW200626P02050000,0.1,0,0,0.05,0,12.2426,-0.0003,0,693
