Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
07/08/2020,SPXW200708C00800000,0,0,2356.7,2377.4,0,0.02,0.9999,0,0,800.000,SPXW200708P00800000,0.05,0,0,0.05,0,0.02,-0.0001,0,118
07/08/2020,SPXW200708C00900000,0,0,2256.8,2277.4,0,0.02,0.9997,0,0,900.000,SPXW200708P00900000,0.05,0,0,0.05,0,38.001,-0.0001,0,90
07/08/2020,SPXW200708C01000000,0,0,2156.8,2177.4,0,0.02,0.9998,0,0,1000.000,SPXW200708P01000000,0.05,0,0,0.05,0,34.7263,-0.0001,0,544
07/08/2020,SPXW200708C01100000,0,0,2056.8,2077.4,0,0.02,0.9999,0,0,1100.000,SPXW200708P01100000,0,0,0,80,0,32.001,-0.0001,0,0
07/08/2020,SPXW200708C01200000,0,0,1952.9,1975.8,0,0.02,0.9998,0,0,1200.000,SPXW200708P01200000,0.1,0,0,0.05,0,29.501,-0.0001,0,2
07/08/2020,SPXW200708C01300000,0,0,1856.7,1877.4,0,0.02,0.9995,0,0,1300.000,SPXW200708P01300000,0.05,0,0,0.05,0,27.1963,-0.0001,0,171
07/08/2020,SPXW200708C01400000,0,0,1756.7,1777.4,0,0.02,0.9999,0,0,1400.000,SPXW200708P01400000,0.05,0,0,0.05,0,25.0196,-0.0001,0,231
07/08/2020,SPXW200708C01500000,0,0,1643.1,1691.1,0,0.02,0.9991,0,0,1500.000,SPXW200708P01500000,0.05,0,0,0.05,0,22.9937,-0.0001,0,151
07/08/2020,SPXW200708C01600000,0,0,1556.7,1577.4,0,0.02,0.9973,0,0,1600.000,SPXW200708P01600000,0.05,0,0,0.05,0,21.1019,-0.0002,0,59
07/08/2020,SPXW200708C01700000,0,0,1456.7,1477.4,0,0.02,0.9971,0,0,1700.000,SPXW200708P01700000,0.05,0,0,0.05,0,19.3247,-0.0002,0,150
07/08/2020,SPXW200708C01800000,0,0,1356.7,1377.4,0,0.02,0.9974,0,0,1800.000,SPXW200708P01800000,0.05,0,0,0.05,0,17.501,-0.0002,0,489
07/08/2020,SPXW200708C01900000,0,0,1240.3,1288.3,0,0.02,0.9971,0,0,1900.000,SPXW200708P01900000,0.05,0,0,0.05,0,16.001,-0.0002,0,1337
07/08/2020,SPXW200708C02000000,0,0,1156.7,1177.4,0,0.02,0.9992,0,0,2000.000,SPXW200708P02000000,0.1,0,0,0.05,0,14.4874,-0.0002,0,476
07/08/2020,SPXW200708C02050000,0,0,1106.8,1127.4,0,0.02,0.996,0,0,2050.000,SPXW200708P02050000,0.35,0,0,0.05,0,13.7368,-0.0002,0,1080
07/08/2020,SPXW200708C02100000,0,0,1056.7,1077.4,0,0.02,0.9991,0,0,2100.000,SPXW200708P02100000,0.15,0,0,0.05,0,13.0049,-0.0003,0,2060
07/08/2020,SPXW200708C02150000,0,0,1002.9,1025.8,0,0.02,0.9975,0,0,2150.000,SPXW200708P02150000,0.05,0,0,0.05,0,12.3176,-0.0003,0,1762
07/08/2020,SPXW200708C02200000,0,0,956.7,977.4,0,0.02,0.9995,0,0,2200.000,SPXW200708P02200000,0.05,0,0,0.05,0,11.6208,-0.0003,0,369
07/08/2020,SPXW200708C02250000,0,0,906.8,927.4,0,0.02,0.9986,0,0,2250.000,SPXW200708P02250000,0.05,0,0,0.05,0,10.9407,-0.0003,0,563
07/08/2020,SPXW200708C02300000,0,0,852.9,876.2,0,0.02,0.9902,0.0001,0,2300.000,SPXW200708P02300000,0.05,0,0,0.05,0,10.2951,-0.0003,0,105
07/08/2020,SPXW200708C02350000,0,0,806.8,827.4,0,0.02,0.9958,0,0,2350.000,SPXW200708P02350000,0.1,0,0,0.05,0,9.641,-0.0003,0,400
07/08/2020,SPXW200708C02400000,0,0,752.9,775.9,0,0.02,0.9962,0,0,2400.000,SPXW200708P02400000,0.05,0,0,0.05,0,8.9959,-0.0004,0,947
07/08/2020,SPXW200708C02425000,0,0,731.8,752.4,0,0.02,0.9983,0,0,2425.000,SPXW200708P02425000,0.05,0,0,0.05,0,8.6778,-0.0004,0,998
07/08/2020,SPXW200708C02450000,0,0,706.8,727.4,0,0.02,0.9982,0,0,2450.000,SPXW200708P02450000,0.05,0,0,0.05,0,8.3421,-0.0004,0,652
07/08/2020,SPXW200708C02475000,0,0,681.8,702.4,0,0.02,0.9982,0,0,2475.000,SPXW200708P02475000,0.15,0,0,0.05,0,8.001,-0.0004,0,175
07/08/2020,SPXW200708C02500000,0,0,652.9,675.8,0,0.02,0.9897,0.0001,0,2500.000,SPXW200708P02500000,0.05,0,0,0.05,0,7.751,-0.0004,0,273
07/08/2020,SPXW200708C02525000,0,0,631.8,652.4,0,0.02,0.998,0,0,2525.000,SPXW200708P02525000,0.05,0,0,0.05,0,7.3887,-0.0004,0,423
07/08/2020,SPXW200708C02550000,0,0,606.8,627.4,0,0.02,0.9949,0.0001,0,2550.000,SPXW200708P02550000,0.4,0,0,0.05,0,7.1382,-0.0004,0,1560
07/08/2020,SPXW200708C02560000,0,0,596.8,617.4,0,0.02,0.9874,0.0001,0,2560.000,SPXW200708P02560000,0.4,0,0,0.05,0,6.9876,-0.0004,0,35
07/08/2020,SPXW200708C02570000,571.12,0,582.9,605.8,0,0.02,0.9988,0,1,2570.000,SPXW200708P02570000,0.05,0,0,0.05,0,6.9277,-0.0005,0,37
07/08/2020,SPXW200708C02575000,0,0,577.9,600.8,0,0.02,0.9885,0.0001,0,2575.000,SPXW200708P02575000,0.05,0,0,0.05,0,6.8626,-0.0005,0,2911
07/08/2020,SPXW200708C02580000,0,0,572.9,595.8,0,0.02,0.9988,0,0,2580.000,SPXW200708P02580000,0,0,0,0.1,0,6.7959,-0.0005,0,0
07/08/2020,SPXW200708C02590000,568.59,4.54,562.9,585.8,1,0.02,0.9886,0.0001,1,2590.000,SPXW200708P02590000,0.5,0,0,0.05,0,6.6675,-0.0005,0,125
07/08/2020,SPXW200708C02600000,565.24,11.14,556.8,577.4,1,0.02,0.9859,0.0001,23,2600.000,SPXW200708P02600000,0.05,0,0,0.05,0,6.5476,-0.0005,0,4675
07/08/2020,SPXW200708C02610000,0,0,464,655.2,0,0.02,0.9873,0.0001,0,2610.000,SPXW200708P02610000,0.05,0,0,0.05,0,6.4252,-0.0005,0,459
